Cód. Item; Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ; Vl. Perda ; Vl. Ganho ; Estoque de Fechamento ; [1310] Tanque ;Estoque de Abertura ; Vol. Recebido ; Vol. Disponível ; Vol. Total das Saídas ; Estoque Escritural ;  Vl. Perda ; Vl. Ganho ; Vol. Aferido 
1;9.050,00; -   ;9.050,00;3.126,18;5.923,82;3,82;;5.920,00;3;9.050,00; -   ;9.050,00;3.126,18;5.923,82;3,82; -   ;5.920,00
2;8.385,00; -   ;8.385,00;323,03;8.061,97;12,97;;8.049,00;1;8.385,00; -   ;8.385,00;323,03;8.061,97;12,97; -   ;8.049,00
3;3.334,00; -   ;3.334,00;1.683,27;1.650,73;5,73;;1.645,00;2;3.334,00; -   ;3.334,00;1.683,27;1.650,73;5,73; -   ;1.645,00
782;4.546,00; -   ;4.546,00;116,98;4.429,02;8,02;;4.421,00;6;4.546,00; -   ;4.546,00;116,98;4.429,02;8,02; -   ;4.421,00
1;5.920,00;5.000,00;10.920,00;4.531,74;6.388,26;;1,74;6.390,00;3;5.920,00;5.000,00;10.920,00;4.531,74;6.388,26; -   ;1,74;6.390,00
2;8.049,00; -   ;8.049,00;537,93;7.511,07;19,07;;7.492,00;1;8.049,00; -   ;8.049,00;537,93;7.511,07;19,07; -   ;7.492,00
3;1.645,00;5.000,00;6.645,00;1.797,95;4.847,05;;12,95;4.860,00;2;1.645,00;5.000,00;6.645,00;1.797,95;4.847,05; -   ;12,95;4.860,00
782;4.421,00; -   ;4.421,00;324,36;4.096,64;5,64;;4.091,00;6;4.421,00; -   ;4.421,00;324,36;4.096,64;5,64; -   ;4.091,00
1;6.390,00;5.000,00;11.390,00;3.690,07;7.699,93;;4,07;7.704,00;3;6.390,00;5.000,00;11.390,00;3.690,07;7.699,93; -   ;4,07;7.704,00
2;7.492,00; -   ;7.492,00;1.070,17;6.421,83;1,83; -   ;6.420,00;1;7.492,00; -   ;7.492,00;1.070,17;6.421,83;1,83; -   ;6.420,00
3;4.860,00;5.000,00;9.860,00;1.893,84;7.966,16;;11,84;7.978,00;2;4.860,00;5.000,00;9.860,00;1.893,84;7.966,16; -   ;11,84;7.978,00
